,nickname,R,F,M
0,.blue_ram,117,1,49
1,.christiny,123,1,183
2,.willn1,141,1,34
3,.托托m,141,1,37
4,0009797王,98,1,94
5,000xyx0,43,1,99
6,000米粒儿米粒0,119,1,170
7,00556旭79618,128,1,159
8,00不哭0,130,1,53
9,00青0,130,2,321
10,02000小轩3,104,1,230
11,02弄,104,1,89
12,055等0,42,1,123
13,0839576292彩0,49,1,188
14,0a151898605,3,1,94
15,0a182001297,22,1,202
16,0a72601,102,1,87
17,0aberdee5,32,2,229
18,0adachen9,126,1,111
19,0ailihui01,104,1,272
20,0ailu0,2,2,299
21,0aimeigirl29,130,1,73
22,0albio8,70,1,139
23,0alicelau03,141,1,83
24,0aliceli_09,126,1,87
25,0allenfang15,113,2,67
26,0alpha05,132,1,117
27,0alx09,129,1,273
28,0amy_lee198508,141,1,88
29,0anchorage16,12,1,50
30,0andy5004,29,1,241
31,0angelalove_7,104,1,117
32,0angelor_20,5,1,34
33,0angelwq03,41,1,87
34,0anitapit1,0,1,176
35,0anmin2,141,1,78
36,0anniezhou8,29,1,207
37,0apchy1,71,1,222
38,0apple198909,43,1,33
39,0asdfghjkl123454670020,46,1,132
40,0atm29,141,1,32
41,0atom07,7,1,94
42,0ayahp22,7,1,124
43,0azezjanyak50,126,1,31
44,0a布7,140,1,253
45,0babyface08,140,1,64
46,0babyvoice08,100,1,144
47,0baikepray21,141,1,178
48,0baixue11,104,1,204
49,0balaba29,37,1,94
50,0bam27,104,1,31
51,0banenn26,127,1,87
52,0bao09,104,1,164
53,0baobao20089,141,1,87
54,0baopal7,22,2,370
55,0barbara21,43,1,87
56,0beidi6,17,2,162
57,0berry16,141,1,52
58,0besttao05,65,2,280
59,0bibini28,43,1,87
60,0bighapp0,102,1,89
61,0bigtao28,126,1,136
62,0bigtop14,3,1,89
63,0bingshui83,103,1,41
64,0bitan28,43,1,87
65,0bjllmiss04,141,1,30
66,0bjzz27,104,1,33
67,0black22,102,1,174
68,0blanc12,13,1,40
69,0bliu28,128,2,336
70,0blue_8914,103,1,89
71,0boa02,103,1,87
72,0bobo0603,141,1,216
73,0boboapple08,80,1,144
